RouteId,RouteLongName,RouteType
1,Hillcrest - Grossmont Transit Ctr.,3
2,Downtown San Diego - 30th & Adams,3
3,UCSD Hospital - Euclid Transit Center,3
4,12th & Imperial Trolley - Lomita Village,3
5,Downtown San Diego - Euclid Transit Center,3
6,North Park - Fashion Valley,3
7,Downtown San Diego - La Mesa,3
8,Old Town - Mission Beach / Pacific Beach,3
9,Old Town - Pacific Beach,3
10,Old Town - University/College,3
11,SDSU - Downtown San Diego,3
12,Downtown San Diego - Skyline Hills,3
13,Kaiser Hospital  - 24th St Trolley,3
14,Grantville Trolley  -  Baltimore & Lake Murray,3
18,Grantville Trlly via Camino del Rio,3
20,Downtown - Rancho Bernardo Transit Station,3
25,Fashion Valley - Kearny Mesa TC,3
27,Pacific Beach - Kearny Mesa Transit Center,3
28,Old Town T.C. - Shelter Island,3
30,Downtown San Diego - UTC via Pacific Beach,3
31,UTC - Mira Mesa,3
35,Ocean Beach - Old Town,3
41,Fashion Valley -  UCSD,3
44,Old Town - Clairemont Square,3
50,Downtown San Diego - UTC via Clairemont Dr.,3
60,Euclid Trolley Station - UTC  via Convoy,3
83,Mission Hills / Hillcrest Circulator,3
84,Point Loma Shuttle,3
88,Old Town - Fashion Valley,3
105,Old Town - University City,3
110,Mira Mesa - Downtown via Hwy 163,3
115,El Cajon T.C. - SDSU T.C.,3
120,Downtown San Diego - Kearny Mesa Transit Center,3
150,Downtown San Diego - UTC via Old Town,3
201,Super Loop - Counterclockwise,3
202,Super Loop - Clockwise,3
204,Super Loop - Judicial Dr.,3
215,Mid-City Rapid,3
235,Downtown - Escondido Transit Center,3
237,Rancho Bernardo Sta / UCSD,3
280,Escondido Transit Center - Downtown,3
290,Rancho Bernardo Station - Downtown,3
510,San Ysidro - America Plaza,0
520,El Cajon - America Plaza,0
530,Santee - 12th & Imperial,0
701,H St Transit Center - Palomar St TC via Hilltop Dr,3
704,E St Transit Center - Palomar Transit Center,3
705,E St Transit Center - Plaza Bonita,3
707,Otay Ranch Town Center - Southwestern College,3
709,H St Transit Center - Eastlake,3
712,Palomar Transit Center - Southwestern College,3
815,El Cajon Transit Center - East Main St,3
816,El Cajon TC - Cuyamaca College,3
832,Santee Center - NE Santee Loop Clockwise,3
833,Santee Center - Parkway Plaza,3
834,Southwest Santee Loop,3
838,East County Square to Viejas,3
848,El Cajon - Lakeside,3
851,Spring Valley - La Mesa,3
854,Grossmont Transit Ctr -- Grossmont College,3
855,Rancho San Diego - La Mesa,3
856,SDSU - Rancho San Diego,3
864,El Cajon - Alpine,3
872,El Cajon Shuttle Loop Counterclockwise,3
874,El Cajon Eastside Shuttle Clockwise,3
875,El Cajon Eastside Shuttle Counterclockwise,3
888,Jacumba - El Cajon,3
891,Borrego - El Cajon via Shelter Valley,3
892,Borrego - El Cajon via Ranchita/Lake Henshaw,3
894,Morena/Campo - El Cajon,3
901,Iris Transit Center - Downtown San Diego,3
904,Coronado Shuttle,3
905,Iris Transit Center - Otay Mesa Border,3
906,Iris Transit Center - San Ysidro Clockwise,3
907,Iris Transit Center - San Ysidro Counterclockwise,3
916,Oak Park-Emerald Hills Loop CW,3
917,Oak Park-Emerald Hills Loop CCW,3
921,UTC - Miramar College Transit Station,3
923,Downtown to Point Loma,3
928,Fashion Valley - Kearny Mesa,3
929,Iris Transit Center - 12th & Imperial,3
932,Iris Transit Center - 8th St. Transit Center,3
933,Iris TC Loop - Imperial Beach Counterclock,3
934,Iris TC Loop - Imperial Beach Clockwise,3
936,Spring Valley - SDSU,3
944,Sabre Springs Station - Poway,3
945,Rancho Bernardo Station - Poway,3
946,Poway HS CC Loop,3
950,Otay Mesa Border - Iris Transit Center,3
955,National City - San Diego State University,3
961,24th St Transit Center - Encanto Trolley,3
962,8th St Transit Center - Spring Valley,3
963,8th St Transit Center - Plaza Bonita,3
964,Mira Mesa - Alliant University via MCTS,3
965,City Heights Shuttle,3
967,24th St Transit Center - Ava & Mariposa,3
968,24th St Transit Center - Munda & Oriskany,3
972,Sorrento Mesa Coaster Connection,3
973,Carroll Canyon Coaster Connection,3
978,Torrey Pines Coaster Connection,3
979,North University City Coaster Connection,3
992,Airport/Downtown Shuttle,3
COR,Coronado Ferry,4
AIR,Trolley to Terminal Shuttle,3
