route_id,trip_id,trip_headsign
27,12712347,Kearny Mesa T.C.
27,12712302,Kearny Mesa T.C.
27,12712273,Kearny Mesa T.C.
27,12712330,Kearny Mesa T.C.
27,12712259,Kearny Mesa T.C.
27,12712365,Kearny Mesa T.C.
27,12712289,Kearny Mesa T.C.
27,12712351,Kearny Mesa T.C.
27,12712306,Kearny Mesa T.C.
27,12712277,Kearny Mesa T.C.
27,12712334,Kearny Mesa T.C.
27,12712319,Kearny Mesa T.C.
27,12712263,Kearny Mesa T.C.
27,12712369,Kearny Mesa T.C.
27,12712293,Kearny Mesa T.C.
27,12712355,Kearny Mesa T.C.
27,12712310,Kearny Mesa T.C.
27,12712281,Kearny Mesa T.C.
27,12712338,Kearny Mesa T.C.
27,12712323,Kearny Mesa T.C.
27,12712267,Kearny Mesa T.C.
27,12712373,Kearny Mesa T.C.
27,12712297,Kearny Mesa T.C.
27,12712359,Kearny Mesa T.C.
27,12712314,Kearny Mesa T.C.
27,12712285,Kearny Mesa T.C.
27,12712342,Kearny Mesa T.C.
27,12712271,Kearny Mesa T.C.
27,12712301,Kearny Mesa T.C.
27,12712318,Kearny Mesa T.C.
27,12712272,Pacific Beach
27,12712329,Pacific Beach
27,12712258,Pacific Beach
27,12712364,Pacific Beach
27,12712288,Pacific Beach
27,12712350,Pacific Beach
27,12712305,Pacific Beach
27,12712276,Pacific Beach
27,12712333,Pacific Beach
27,12712262,Pacific Beach
27,12712368,Pacific Beach
27,12712292,Pacific Beach
27,12712354,Pacific Beach
27,12712309,Pacific Beach
27,12712280,Pacific Beach
27,12712337,Pacific Beach
27,12712322,Pacific Beach
27,12712266,Pacific Beach
27,12712372,Pacific Beach
27,12712296,Pacific Beach
27,12712358,Pacific Beach
27,12712313,Pacific Beach
27,12712284,Pacific Beach
27,12712341,Pacific Beach
27,12712326,Pacific Beach
27,12712270,Pacific Beach
27,12712376,Pacific Beach
27,12712300,Pacific Beach
27,12712317,Pacific Beach
115,12712111,El Cajon Transit Ctr
115,12712097,El Cajon Transit Ctr
115,12712062,El Cajon Transit Ctr
115,12712082,El Cajon Transit Ctr
115,12712131,El Cajon Transit Ctr
115,12712150,El Cajon Transit Ctr
115,12712167,El Cajon Transit Ctr
115,12712115,El Cajon Transit Ctr
115,12712101,El Cajon Transit Ctr
115,12712066,El Cajon Transit Ctr
115,12712086,El Cajon Transit Ctr
115,12712135,El Cajon Transit Ctr
115,12712154,El Cajon Transit Ctr
115,12712171,El Cajon Transit Ctr
115,12712119,El Cajon Transit Ctr
115,12712105,El Cajon Transit Ctr
115,12712070,El Cajon Transit Ctr
115,12712090,El Cajon Transit Ctr
115,12712139,El Cajon Transit Ctr
115,12712158,El Cajon Transit Ctr
115,12712175,El Cajon Transit Ctr
115,12712123,El Cajon Transit Ctr
115,12712109,El Cajon Transit Ctr
115,12712074,El Cajon Transit Ctr
115,12712094,El Cajon Transit Ctr
115,12712162,El Cajon Transit Ctr
115,12712127,El Cajon Transit Ctr
115,12712144,El Cajon Transit Ctr
115,12712079,El Cajon Transit Ctr
115,12712096,SDSU
115,12712061,SDSU
115,12712081,SDSU
115,12712130,SDSU
115,12712149,SDSU
115,12712166,SDSU
115,12712114,SDSU
115,12712100,SDSU
115,12712065,SDSU
115,12712085,SDSU
115,12712134,SDSU
115,12712153,SDSU
115,12712170,SDSU
115,12712118,SDSU
115,12712104,SDSU
115,12712069,SDSU
115,12712089,SDSU
115,12712138,SDSU
115,12712157,SDSU
115,12712174,SDSU
115,12712122,SDSU
115,12712108,SDSU
115,12712073,SDSU
115,12712093,SDSU
115,12712142,SDSU
115,12712161,SDSU
115,12712126,SDSU
115,12712143,SDSU
115,12712078,SDSU
815,12712559,E. Main & Madison
815,12712593,E. Main & Madison
815,12712626,E. Main & Madison
815,12712561,E. Main & Madison
815,12712650,E. Main & Madison
815,12712595,E. Main & Madison
815,12712628,E. Main & Madison
815,12712563,E. Main & Madison
815,12712652,E. Main & Madison
815,12712597,E. Main & Madison
815,12712630,E. Main & Madison
815,12712565,E. Main & Madison
815,12712654,E. Main & Madison
815,12712599,E. Main & Madison
815,12712632,E. Main & Madison
815,12712567,E. Main & Madison
815,12712656,E. Main & Madison
815,12712601,E. Main & Madison
815,12712634,E. Main & Madison
815,12712569,E. Main & Madison
815,12712658,E. Main & Madison
815,12712603,E. Main & Madison
815,12712636,E. Main & Madison
815,12712571,E. Main & Madison
815,12712660,E. Main & Madison
815,12712605,E. Main & Madison
815,12712638,E. Main & Madison
815,12712573,E. Main & Madison
815,12712662,E. Main & Madison
815,12712607,E. Main & Madison
815,12712640,E. Main & Madison
815,12712575,E. Main & Madison
815,12712664,E. Main & Madison
815,12712609,E. Main & Madison
815,12712642,E. Main & Madison
